"selec","View","Channel","bottom.freq","top.freq","Peak Freq (Hz)","Delta Time (s)","Delta Freq (Hz)","start","end","Adulto","Polluelo","Clicks","Sobrelapamiento","Lejos","Agua/Viento","Otro animal","selec.file","sound.files"
22,"Spectrogram 1",1,0,10.451582,2885.449,0.0497,10451.582,98.389449784,98.439124638,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
23,"Spectrogram 1",1,0,10.108907,1162.793,0.9303,10108.907,99.202311025,100.132585557,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
24,"Spectrogram 1",1,0,10.451582,645.996,0.0497,10451.582,106.619737317,106.669412171,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
25,"Spectrogram 1",1,0,2.741399,1248.926,0.0497,2741.399,106.940365918,106.990040772,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
2,"Spectrogram 1",1,0,10.54733,1421.191,1.3503,10547.33,15.55170539,16.901958229,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
3,"Spectrogram 1",1,0,10.39447,559.863,0.2032,10394.47,26.787523461,26.990738771,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
4,"Spectrogram 1",1,0,1.987178,861.328,0.849,1987.178,26.990738771,27.839727178,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
5,"Spectrogram 1",1,0,10.54733,1248.926,0.4787,10547.33,61.576498489,62.055183442,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
6,"Spectrogram 1",1,0,10.592647,473.73,0.3432,10592.647,63.053196158,63.396404238,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
7,"Spectrogram 1",1,0,10.484559,1076.66,0.2303,10484.559,63.391888342,63.622199027,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
8,"Spectrogram 1",1,0,10.700735,732.129,0.7587,10700.735,63.617683131,64.376353622,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
9,"Spectrogram 1",1,0,1.297059,689.062,0.3432,1297.059,68.2244881,68.56769618,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
10,"Spectrogram 1",1,0,10.808824,1679.59,0.3161,10808.824,68.572212075,68.88832478,"y","n","n","n","n","n","","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
12,"Spectrogram 1",1,0,2.269853,775.195,0.7045,2269.853,68.88832478,69.592804522,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
13,"Spectrogram 1",1,0,10.376471,861.328,0.271,10376.471,70.608877892,70.879831639,"y","n","n","n","n","n","n","1/ZOOM0004_TrLR-2.Table.1.selections.txt","ZOOM0004_TrLR-2.wav"
